,Type,Year,Lat,Long
129,Robbery,2018,42.33344875,-71.10266448
130,Robbery,2018,42.34391716,-71.08967541
131,Robbery,2018,42.31521134,-71.08783592
132,Robbery,2018,42.28657334,-71.06408374
133,Robbery,2018,42.29812402,-71.07589794
134,Robbery,2018,42.37640217,-71.03297149
135,Robbery,2018,42.35501072,-71.12887911
136,Homicide,2018,42.32047753,-71.07273673
137,Robbery,2018,42.29648008,-71.08001594
139,Robbery,2018,42.32924234,-71.05362304
140,Robbery,2018,42.37904767,-71.0298208
142,Robbery,2018,42.33135698,-71.04206352
143,Robbery,2018,42.31370136,-71.09551192
145,Robbery,2018,42.37900759,-71.02790689
146,Robbery,2018,42.28582356,-71.09104328
147,Robbery,2018,42.35913205,-71.05504984
148,Robbery,2018,42.32828842,-71.05529696
149,Robbery,2018,42.31302406,-71.09073569
150,Robbery,2018,42.33019207,-71.09355705
151,Robbery,2018,42.33743805,-71.02846551
152,Robbery,2018,42.32978737,-71.08324801
154,Robbery,2018,42.28657334,-71.06408374
155,Robbery,2018,42.33857289,-71.05575501
156,Robbery,2018,42.34373406,-71.0741916
157,Robbery,2018,42.30393928,-71.07896352
158,Robbery,2018,42.32199334,-71.09836126
159,Robbery,2018,42.28175144,-71.12708183
160,Robbery,2018,42.37817244,-71.03729943
161,Robbery,2018,42.26994732,-71.09380308
162,Robbery,2018,42.30576093,-71.08377157
163,Robbery,2018,42.33186291,-71.1123942
164,Robbery,2018,42.31840989,-71.06829176
165,Robbery,2018,42.31535276,-71.07304299
166,Robbery,2018,42.27113353,-71.06819173
167,Robbery,2018,42.24361883,-71.11989255
168,Robbery,2018,42.27425136,-71.09938919
169,Robbery,2018,42.26209214,-71.11670964
171,Robbery,2018,42.30664081,-71.08584976
172,Robbery,2018,42.35260187,-71.06448146
173,Robbery,2018,42.35602373,-71.06177615
174,Robbery,2018,42.35256908,-71.07978844
175,Robbery,2018,42.27946828,-71.11572773
176,Robbery,2018,42.29147188,-71.06270799
177,Robbery,2018,42.27256733,-71.09746094
178,Robbery,2018,42.31610241,-71.07756199
179,Robbery,2018,42.35912459,-71.05695844
180,Robbery,2018,42.34866017,-71.16801858
181,Robbery,2018,42.28287754,-71.08474489
182,Robbery,2018,42.28863812,-71.06631579
183,Robbery,2018,42.34531664,-71.14298078
184,Robbery,2018,42.35543089,-71.05767661
185,Robbery,2018,42.34843357,-71.0758794
186,Robbery,2018,42.35521625,-71.06012863
187,Robbery,2018,42.34980175,-71.07840978
188,Robbery,2018,42.34717363,-71.0964439
189,Robbery,2018,42.3523119,-71.0637051
190,Robbery,2018,42.28319809,-71.09098657
191,Robbery,2018,42.35131763,-71.05838367
194,Robbery,2018,42.30046668,-71.06647544
196,Robbery,2018,42.32949944,-71.05701312
197,Robbery,2018,42.35952721,-71.05358839
198,Robbery,2018,42.26726416,-71.09461109
199,Robbery,2018,42.26726416,-71.09461109
200,Robbery,2018,42.26726416,-71.09461109
201,Robbery,2018,42.31466062,-71.07623072
203,Robbery,2018,42.28582356,-71.09104328
204,Robbery,2018,42.33152148,-71.07085307
205,Robbery,2018,42.29282031,-71.06232824
206,Robbery,2018,42.28862665,-71.06350471
207,Robbery,2018,42.33903069,-71.09688153
208,Robbery,2018,42.31503085,-71.08344018
209,Robbery,2018,42.28657334,-71.06408374
210,Homicide,2018,42.30545103,-71.08057209
211,Homicide,2018,42.33380238,-71.08880867
212,Robbery,2018,42.37549798,-71.03495855
213,Robbery,2018,42.32943305,-71.08333026
214,Robbery,2018,42.28581121,-71.07115483
215,Robbery,2018,42.35528211,-71.14566136
216,Robbery,2018,42.35528211,-71.14566136
217,Robbery,2018,42.353429,-71.136782
218,Robbery,2018,42.35645598,-71.13725124
219,Robbery,2018,42.35645598,-71.13725124
220,Robbery,2018,42.30014431,-71.06337934
221,Robbery,2017,42.3523119,-71.0637051
222,Robbery,2018,42.29257648,-71.07179406
223,Robbery,2018,42.28787216,-71.05506324
225,Robbery,2018,42.3043395,-71.08477887
226,Robbery,2018,42.38284675,-71.00049462
227,Robbery,2018,42.26817397,-71.09387677
228,Robbery,2018,42.37442697,-71.03527876
229,Robbery,2018,42.34334672,-71.06643142
230,Robbery,2018,42.37624409,-71.03272932
231,Robbery,2018,42.3043395,-71.08477887
232,Robbery,2018,42.30938437,-71.08262277
233,Robbery,2018,42.34355868,-71.08734146
234,Robbery,2018,42.26857609,-71.09574826
235,Robbery,2018,42.33152148,-71.07085307
236,Robbery,2018,42.34334672,-71.06643142
237,Robbery,2018,42.29212974,-71.07175746
238,Robbery,2018,42.3290038,-71.07838214
240,Robbery,2018,42.35009599,-71.0773211
241,Robbery,2018,42.31242132,-71.09154902
242,Robbery,2018,42.31242132,-71.09154902
243,Robbery,2018,42.26194848,-71.10971613
244,Robbery,2017,42.35919555,-71.05463831
245,Robbery,2018,42.37846079,-71.03345662
246,Robbery,2018,42.34857652,-71.07772012
247,Robbery,2018,42.28314714,-71.11374152
248,Robbery,2018,42.31584636,-71.09824825
249,Robbery,2018,42.32962107,-71.05763827
251,Robbery,2017,42.28665378,-71.12665398
252,Robbery,2017,42.26956689,-71.09075049
253,Robbery,2017,42.29903803,-71.05780292
254,Robbery,2017,42.31743922,-71.07547845
255,Robbery,2017,42.32809966,-71.06321676
256,Robbery,2017,42.32474095,-71.1049185
258,Robbery,2017,42.33996911,-71.15048615
259,Robbery,2017,42.32935767,-71.07974589
260,Robbery,2017,42.37996489,-71.03923314
261,Robbery,2017,42.33772553,-71.02755077
262,Robbery,2017,42.37763964,-71.0545318
263,Robbery,2017,42.33152148,-71.07085307
264,Robbery,2017,42.28446743,-71.11183089
265,Robbery,2017,42.28405588,-71.09045322
266,Robbery,2017,42.31922045,-71.06783906
267,Robbery,2017,42.30658786,-71.06207255
268,Robbery,2017,42.33185557,-71.03731191
269,Robbery,2017,42.28783644,-71.08101039
270,Robbery,2017,42.28908473,-71.07122181
271,Robbery,2017,42.34347698,-71.07822747
272,Robbery,2017,42.28154388,-71.07350542
273,Robbery,2017,42.33816387,-71.07461217
274,Robbery,2017,42.33326154,-71.02710143
275,Homicide,2017,42.28485608,-71.0936575
276,Robbery,2017,42.35007201,-71.13202926
277,Robbery,2017,42.28886128,-71.12142456
279,Robbery,2017,42.2991807,-71.06429139
280,Homicide,2017,42.27905426,-71.05337772
281,Robbery,2017,42.28048456,-71.09256731
284,Robbery,2017,42.35123006,-71.06289921
285,Robbery,2017,42.29589803,-71.07793157
286,Robbery,2017,42.38027831,-71.02753732
287,Robbery,2017,42.36444073,-71.05699892
288,Robbery,2017,42.29745339,-71.07253425
289,Robbery,2017,42.39006029,-71.00090933
290,Robbery,2017,42.31295163,-71.07989658
291,Robbery,2017,42.35512339,-71.0608798
292,Robbery,2017,42.31311697,-71.11410225
293,Homicide,2017,42.30839354,-71.06473124
294,Robbery,2017,42.35157076,-71.07186599
295,Robbery,2017,42.32855807,-71.079276
296,Robbery,2017,42.263901,-71.1181
297,Robbery,2017,42.29648008,-71.08001594
299,Robbery,2017,42.28582356,-71.09104328
300,Robbery,2017,42.30129244,-71.06402711
301,Robbery,2017,42.31479826,-71.05611285
302,Robbery,2017,42.31679542,-71.07964562
303,Robbery,2017,42.34155222,-71.0863228
304,Robbery,2017,42.26194848,-71.10971613
305,Robbery,2017,42.33596847,-71.08129856
306,Robbery,2017,42.35174282,-71.0627594
307,Robbery,2017,42.34072169,-71.07768509
308,Robbery,2017,42.34842775,-71.07646876
309,Robbery,2017,42.32257063,-71.07688775
310,Robbery,2017,42.32469443,-71.10087902
311,Robbery,2017,42.32469443,-71.10087902
312,Robbery,2017,42.3098248,-71.05690555
313,Robbery,2017,42.32217348,-71.08506711
314,Robbery,2017,42.32029322,-71.05676992
315,Robbery,2017,42.38212496,-71.01539104
316,Robbery,2017,42.25592648,-71.12317207
317,Robbery,2017,42.32530857,-71.08332293
318,Robbery,2017,42.34389981,-71.09486424
319,Robbery,2017,42.32198656,-71.06280666
320,Robbery,2017,42.28567647,-71.08022781
321,Robbery,2017,42.2957638,-71.08756002
322,Robbery,2017,42.27425136,-71.09938919
323,Robbery,2017,42.31968946,-71.05723302
324,Robbery,2017,42.31206146,-71.07512473
325,Robbery,2017,42.36884343,-71.03967544
326,Robbery,2017,42.34414013,-71.07130519
327,Robbery,2017,42.31615184,-71.09795135
328,Robbery,2017,42.30626249,-71.07633157
329,Robbery,2017,42.33561661,-71.03641895
330,Robbery,2017,42.37750817,-71.03805944
331,Robbery,2017,42.30667342,-71.11610057
332,Robbery,2017,42.3479724,-71.07849582
333,Robbery,2017,42.29848866,-71.06313294
334,Homicide,2017,42.36671964,-71.03908712
335,Robbery,2017,42.36671964,-71.03908712
336,Robbery,2017,42.34087158,-71.08145768
337,Robbery,2017,42.3494205,-71.083158
338,Robbery,2017,42.2908347,-71.06288798
339,Robbery,2017,42.32633527,-71.06648796
340,Robbery,2017,42.35009599,-71.0773211
341,Robbery,2017,42.33436843,-71.0953077
342,Robbery,2017,42.33677663,-71.07464452
343,Robbery,2017,42.33428841,-71.07239518
344,Robbery,2017,42.35942556,-71.05288819
345,Robbery,2017,42.26204916,-71.15635818
346,Robbery,2017,42.31685976,-71.06527513
347,Robbery,2017,42.38229155,-71.04036424
348,Robbery,2017,42.3464817,-71.06390435
349,Robbery,2017,42.34423781,-71.0629644
350,Robbery,2017,42.34311574,-71.06482692
351,Homicide,2017,42.33178186,-71.09718868
352,Robbery,2017,42.34175462,-71.0685477
353,Robbery,2017,42.35131095,-71.06030942
354,Robbery,2017,42.35031462,-71.06670795
355,Robbery,2017,42.34055884,-71.07022771
356,Robbery,2017,42.33128553,-71.10772497
358,Robbery,2017,42.30175909,-71.0795516
359,Robbery,2017,42.35329785,-71.13405028
360,Robbery,2017,42.32980081,-71.06939695
361,Robbery,2017,42.36402978,-71.1286334
362,Robbery,2017,42.2926877,-71.06556673
363,Robbery,2017,42.30855179,-71.08480199
364,Robbery,2017,42.35487365,-71.05861218
365,Robbery,2017,42.32369646,-71.09564674
367,Robbery,2017,42.2908347,-71.06288798
368,Robbery,2017,42.28854541,-71.05548318
369,Robbery,2017,42.35909289,-71.05327197
370,Robbery,2017,42.28799062,-71.07448379
371,Robbery,2017,42.28799062,-71.07448379
372,Homicide,2017,42.30536545,-71.06812632
373,Robbery,2017,42.288955,-71.0743134
374,Robbery,2017,42.2908347,-71.06288798
375,Robbery,2017,42.35043297,-71.05873158
377,Robbery,2017,42.31250552,-71.08314735
379,Robbery,2017,42.27789689,-71.1614094
380,Robbery,2017,42.28683796,-71.07119249
381,Robbery,2017,42.35070525,-71.06185179
382,Robbery,2017,42.37664527,-71.03625455
384,Robbery,2017,42.30854728,-71.05821219
385,Robbery,2017,42.34040563,-71.14548726
386,Robbery,2017,42.33704419,-71.09749044
387,Robbery,2017,42.29990887,-71.06424768
388,Robbery,2017,42.31587074,-71.05668311
389,Robbery,2017,42.337189,-71.098485
390,Robbery,2017,42.337189,-71.098485
392,Robbery,2017,42.2762545,-71.07957804
393,Robbery,2017,42.27043477,-71.10005783
394,Robbery,2017,42.28854541,-71.05548318
396,Robbery,2017,42.32561013,-71.10449956
397,Robbery,2017,42.31514179,-71.06704709
398,Robbery,2017,42.3373341,-71.08396225
399,Robbery,2017,42.33010314,-71.07090185
403,Robbery,2017,42.33596847,-71.08129856
404,Robbery,2017,42.37996489,-71.03923314
405,Robbery,2017,42.30259741,-71.08008837
406,Robbery,2017,42.35825495,-71.06173472
408,Robbery,2017,42.30767844,-71.08050401
410,Robbery,2017,42.29277202,-71.12138967
411,Robbery,2017,42.29445414,-71.09086555
412,Robbery,2017,42.29648008,-71.08001594
413,Robbery,2017,42.32883627,-71.08459849
414,Robbery,2017,42.33159837,-71.05159631
415,Robbery,2017,42.31928523,-71.05027167
416,Robbery,2017,42.2908347,-71.06288798
417,Robbery,2017,42.28683796,-71.07119249
418,Robbery,2017,42.29408414,-71.09147853
419,Homicide,2017,42.27881657,-71.16080623
420,Robbery,2017,42.28893267,-71.09455788
421,Robbery,2017,42.33615871,-71.04462255
422,Robbery,2017,42.27065695,-71.09377841
423,Robbery,2017,42.27065695,-71.09377841
424,Robbery,2017,42.27065695,-71.09377841
425,Robbery,2017,42.27065695,-71.09377841
426,Robbery,2017,42.37824758,-71.0319632
427,Robbery,2017,42.36439256,-71.06093185
429,Robbery,2017,42.30767844,-71.08050401
431,Robbery,2017,42.288461,-71.118431
433,Robbery,2017,42.29919694,-71.06046974
434,Robbery,2017,42.33406106,-71.0775625
435,Robbery,2017,42.33331285,-71.07322932
437,Robbery,2017,42.27189681,-71.10283363
438,Robbery,2017,42.30108957,-71.06752684
439,Robbery,2017,42.36608625,-71.05696428
440,Robbery,2017,42.31840696,-71.0763541
441,Robbery,2017,42.32513051,-71.09940815
442,Robbery,2017,42.2908347,-71.06288798
443,Homicide,2017,42.30839354,-71.06473124
444,Robbery,2017,42.30839354,-71.06473124
445,Robbery,2017,42.25977993,-71.11623073
446,Robbery,2017,42.29866422,-71.08666312
447,Robbery,2017,42.32597067,-71.10134303
448,Robbery,2017,42.29855898,-71.07307742
449,Robbery,2017,42.29855898,-71.07307742
450,Robbery,2017,42.27502219,-71.13362022
451,Robbery,2017,42.28636893,-71.13005503
452,Robbery,2017,42.31465519,-71.06399837
453,Robbery,2017,42.35595391,-71.13852468
454,Robbery,2017,42.34114797,-71.08246189
